0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,10,0,1,0,0,0,0,10,0,0,0,0,1,0,10,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,1,1,1,0,0,0,1,13,1,0,0,0,1,1,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,3,3,1,1,4,4,4,4,4,1,1,3,3,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0
1,0,0,10,0,1,0,0,0,1,10,14,10,1,0,0,0,1,0,10,0,0,1
0,1,0,0,0,4,0,0,0,1,0,10,0,1,0,0,0,4,0,0,0,1,0
0,1,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,1,0
1,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,1
0,1,0,0,0,1,1,3,3,1,0,0,0,1,3,3,1,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
0,1,0,3,3,0,1,1,1,0,0,-1,0,0,1,1,1,0,3,3,0,1,0
0,1,0,0,0,0,0,13,10,1,-1,-1,-1,1,10,13,0,0,0,0,0,1,0
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
